gubun,mem_id,cor_id,cit_id,cde_id,cde_price,cor_datetime
akbonara,1227862,abnr2016112156,6237,8241,500,2016-11-21 00:00:00
akbonara,1170104,abnr2016112157,2697,951,1000,2016-11-21 00:00:00
akbonara,1122512,abnr2016112162,6261,8275,500,2016-11-21 00:00:00
akbonara,1235816,abnr2016112163,3779,5091,900,2016-11-21 00:00:00
akbonara,1122512,abnr2016112164,7324,4769,500,2016-11-21 00:00:00
akbonara,1186392,abnr2016112165,4514,6148,500,2016-11-21 00:00:00
akbonara,1228764,abnr2016112168,4501,6124,500,2016-11-21 00:00:00
akbonara,1220244,abnr2016112170,4876,6619,500,2016-11-21 00:00:00
akbonara,1235960,abnr2016112171,6165,8146,500,2016-11-21 00:00:00
akbonara,1235960,abnr2016112172,4039,5433,500,2016-11-21 00:00:00
akbonara,1235960,abnr2016112174,4513,6147,500,2016-11-21 00:00:00
akbonara,1193998,abnr2016112175,3781,5094,1000,2016-11-21 00:00:00
akbonara,1051470,abnr2016112179,3716,4989,1000,2016-11-21 00:00:00
akbonara,1152582,abnr2016112183,7231,9381,1000,2016-11-21 00:00:00
akbonara,1186392,abnr2016112187,3997,5379,500,2016-11-21 00:00:00
akbonara,1235972,abnr2016112190,4135,5588,500,2016-11-21 00:00:00
akbonara,1010666,abnr2016112192,3790,5111,1000,2016-11-21 00:00:00
akbonara,1231220,abnr2016112210,3688,4939,1000,2016-11-22 00:00:00
akbonara,1234763,abnr20161122118,2582,3311,1000,2016-11-22 00:00:00
akbonara,1104828,abnr20161122119,6407,8484,500,2016-11-22 00:00:00
akbonara,1234172,abnr2016112212,6265,8281,500,2016-11-22 00:00:00
akbonara,1166530,abnr20161122129,4546,6197,500,2016-11-22 00:00:00
akbonara,1235365,abnr20161122132,6280,8298,500,2016-11-22 00:00:00
akbonara,1236004,abnr2016112214,6232,8236,1000,2016-11-22 00:00:00
akbonara,1215544,abnr20161122141,4840,6562,1000,2016-11-22 00:00:00
akbonara,1219079,abnr20161122145,2868,3674,1000,2016-11-22 00:00:00
akbonara,1214000,abnr20161122150,173,208,500,2016-11-22 00:00:00
akbonara,1150144,abnr20161122153,3685,4933,1000,2016-11-22 00:00:00
akbonara,1223590,abnr20161122156,3103,8941,1000,2016-11-22 00:00:00
akbonara,1223590,abnr20161122157,3781,5094,1000,2016-11-22 00:00:00
akbonara,1190584,abnr20161122158,1011,1294,500,2016-11-22 00:00:00
akbonara,1236067,abnr20161122159,4443,6021,1000,2016-11-22 00:00:00
akbonara,1235184,abnr20161122161,6071,8016,500,2016-11-22 00:00:00
akbonara,1235184,abnr20161122163,6122,8069,500,2016-11-22 00:00:00
akbonara,1235184,abnr20161122164,4503,6129,500,2016-11-22 00:00:00
akbonara,1228396,abnr20161122166,7724,11391,1500,2016-11-22 00:00:00
akbonara,1226090,abnr2016112218,4679,6360,500,2016-11-22 00:00:00
